AUC,Accuracy,Business Score
0.6252061747776033,0.8148824451410659,226.6
0.6156310832025118,0.8011128526645768,214.8
0.6156206174777603,0.801108934169279,214.8
0.6250329670329671,0.8192594043887148,228.8
0.6144589220303506,0.8023589341692791,216.2
0.6152333856619572,0.8004819749216301,215.0
0.6161255886970173,0.8042378526645766,215.6
0.6234924123495552,0.818005485893417,229.2
0.6158424908424909,0.8029898119122258,216.0
0.6156650968079539,0.8061128526645767,215.0
0.6274971219256933,0.8167594043887147,220.6
0.6138733647305076,0.8036108934169279,215.8
0.6160690737833595,0.7986108934169279,215.6
0.6151794871794871,0.8036108934169279,214.0
0.6151648351648352,0.8036128526645768,214.0
0.6160596546310833,0.8023608934169278,214.4
0.6147367870225013,0.8023589341692791,214.4
0.615657770800628,0.8017358934169279,214.6
0.6279544740973313,0.8192594043887148,216.2
0.615484039769754,0.8029858934169278,214.2
0.6152066980638409,0.8042378526645766,215.6
0.6153846153846153,0.8036108934169277,214.0
0.6157885923600209,0.799233934169279,217.2
0.6157864992150707,0.8023608934169278,214.4
0.6164772370486655,0.8004858934169279,215.0
0.6155677655677655,0.7998608934169279,215.2
0.6263045525902668,0.8161344043887148,228.0
0.6155761381475667,0.8029878526645767,214.2
0.6141915227629513,0.8011069749216301,214.8
0.6276682365253794,0.8111363636363637,227.8
